p_id,commits,authors
41799623,11,1
8627377,7,1
1397127,6,3
19318331,4,1
6442623,44,2
21021372,4,2
11850133,16,1
13427198,7,1
18023240,6,3
22796947,25,9
28774361,6,1
9211611,6,1
34582944,11,2
31766631,8,2
20539179,9,2
15612548,6,2
377350,152,9
12487112,69,1
10253219,4,1
11184001,6,2
14036473,2,1
40679342,4,1
12952234,19,1
32782832,7,1
3844262,11,1
33960605,89,1
18566666,26,1
3585016,5,1
2863450,2,1
28275225,2,1
34345345,5,1
35962631,2,1
2800598,3,1
35625816,2,1
14128479,15,1
22621552,9,1
33117119,4,1
24119795,5,1
18990178,26,1
31042060,2,2
5320626,10,1
11128544,12,1
30147625,73,3
5018253,3,1
20002056,4,1
27687956,2,2
13115062,9,1
17614540,480,1
33508993,2,1
27179274,19,1
32626244,2,1
28323641,4,1
10141988,21,2
7014537,62,1
32470627,12,1
32829771,3,1
1952393,176,4
26374629,70,1
8633516,2,1
22172458,129,4
17004817,3,1
28312474,2,1
8976278,23,1
35535807,2,2
12171523,5437,107
15764441,2,1
9328011,20,1
21414893,2,1
16045283,3,1
22130041,46,1
36281212,3,1
38500662,2,2
6276028,7,1
43474503,9,1
13720239,2,1
34311372,3,2
32561094,3,1
32797775,3,1
27608771,2,2
18269711,29,1
28344742,5,1
28124528,53,4
17768110,20,3
9852767,2,1
11416207,11,1
8887320,3,1
39323500,2,2
20683256,2,1
13809213,5,1
18601670,23,1
22970656,2,1
29223456,4,1
9418701,3,1
30509166,4,1
17966163,3,1
39460853,12,1
18142990,2,2
4955382,4,1
1949725,10,2
7343565,3,1
17579998,3,2
18947343,221,6
15240579,4,1
3808501,6,3
38200403,4,1
9210029,2,1
13696131,4,1
33125635,3,2
30790030,2,1
18872190,8,2
41677383,12,2
31244862,9,1
19869285,2,1
12454878,5,1
33775889,9,2
10154567,3,1
19884947,3,1
34827238,7,4
6558251,42,1
15410878,10,1
41642320,20,1
18218528,7,1
22186639,2,1
8572253,2,1
24480211,13,1
7503371,6,1
20612869,8,2
24637157,2,1
18552771,2,1
29726211,24,1
23001921,12,2
21942199,5,1
20702680,5,1
11180582,376,2
7768670,137,2
2301778,10,1
9212701,2,1
28335128,2,2
24156937,8,1
35013033,14,4
16926859,2,1
1551920,24,3
11587359,28,1
30844534,5,1
18541797,8,1
29214189,29,1
34613314,4,1
19578750,5,1
9147543,2,1
8674663,15,1
30961400,2,1
16655317,31,1
23624653,2,1
5011588,22,1
1644557,9,2
10550567,125,43
3703966,3,2
16934241,17,1
28941256,6,1
13432566,97,3
39729296,3,2
28371859,10,1
10187854,11,1
44768757,2,1
8185964,6,1
12832455,18,1
11787541,24,1
12784813,2,2
44274139,4,2
18554845,4,1
2941728,2,1
13115563,23,1
37483260,2,1
43682699,4,1
28936377,2,1
14533745,2,1
26344132,42,1
27853323,13,1
4928493,2,1
2842983,4,1
34308307,9,1
12628604,23,1
22494269,3,1
2675991,2,1
8366299,10,1
2539413,2,1
29043494,10,2
28395999,6,1
10434812,4,2
35515917,6,1
37406669,2,1
17785594,3,1
8741571,7,1
13069334,10,1
30948326,34,1
34130378,3,1
12913701,9,1
13817756,15,1
29397089,4,1
